Quarter,Ticker,Stock,%,Change,Unnamed: 0,Income_Revenue,Income_Cost Of Goods Sold,Income_Gross Profit,Income_Research And Development Expenses,Income_SG&A Expenses,Income_Other Operating Income Or Expenses,Income_Operating Expenses,Income_Operating Income,Income_Total Non-Operating Income/Expense,Income_Pre-Tax Income,Income_Income Taxes,Income_Income After Taxes,Income_Other Income,Income_Income From Continuous Operations,Income_Income From Discontinued Operations,Income_Net Income,Income_EBITDA,Income_EBIT,Income_Basic EPS,Income_EPS - Earnings Per Share,Balance_Cash On Hand,Balance_Receivables,Balance_Inventory,Balance_Pre-Paid Expenses,Balance_Other Current Assets,Balance_Total Current Assets,"Balance_Property, Plant, And Equipment",Balance_Long-Term Investments,Balance_Goodwill And Intangible Assets,Balance_Other Long-Term Assets,Balance_Total Long-Term Assets,Balance_Total Assets,Balance_Total Current Liabilities,Balance_Long Term Debt,Balance_Other Non-Current Liabilities,Balance_Total Long Term Liabilities,Balance_Total Liabilities,Balance_Common Stock Net,Balance_Retained Earnings (Accumulated Deficit),Balance_Comprehensive Income,Balance_Other Share Holders Equity,Balance_Share Holder Equity,Balance_Total Liabilities And Share Holders Equity,CashFlow_Net Income/Loss,CashFlow_Total Depreciation And Amortization - Cash Flow,CashFlow_Other Non-Cash Items,CashFlow_Total Non-Cash Items,CashFlow_Change In Accounts Receivable,CashFlow_Change In Inventories,CashFlow_Change In Accounts Payable,CashFlow_Change In Assets/Liabilities,CashFlow_Total Change In Assets/Liabilities,CashFlow_Cash Flow From Operating Activities,"CashFlow_Net Change In Property, Plant, And Equipment",CashFlow_Net Change In Intangible Assets,CashFlow_Net Acquisitions/Divestitures,CashFlow_Net Change In Short-term Investments,CashFlow_Net Change In Long-Term Investments,CashFlow_Net Change In Investments - Total,CashFlow_Investing Activities - Other,CashFlow_Cash Flow From Investing Activities,CashFlow_Net Long-Term Debt,CashFlow_Net Current Debt,CashFlow_Debt Issuance/Retirement Net - Total,CashFlow_Net Common Equity Issued/Repurchased,CashFlow_Net Total Equity Issued/Repurchased,CashFlow_Total Common And Preferred Stock Dividends Paid,CashFlow_Financial Activities - Other,CashFlow_Cash Flow From Financial Activities,CashFlow_Net Cash Flow,CashFlow_Stock-Based Compensation,CashFlow_Common Stock Dividends Paid,StockPrice,Annual_Basic_EPS,PER,ROI,Operating_Margin,Gross_Margin,Net_Profit_Margin,ROE,Current_Ratio,Debt_to_Equity,EBITDA_Margin
2016 Q3,AAL,AMERICAN AIRLINES GROUP INC,0.62%,1,2016-09-30,10594,6946,3648,0,347,-1471,2217,1431,-242,1189,452,737,0,737,0,737,1431,1431,1.4,1.4,7390,1703,1100,855,0,11048,30304,0,6280,1952,40060,51108,14533,21545,2698,32184,46717,5,1403,-4778,0,4391,51108,2584,1699,1858,3557,-160,0,0,254,401,6524,-5606,0,0,-96,0,-96,0,-5702,3874,0,3874,-4500,-4500,-224,-44,-894,-72,100,-224,35.28837204,9.26,3.810839313,0.014420443,0.135076458,0.344345856,0.06956768,0.167843316,0.760200922,10.63926213,0.135076458
2016 Q4,AAL,AMERICAN AIRLINES GROUP INC,1.44%,1,2016-12-31,9750,6970,2780,0,334,-1506,2237,543,-190,353,156,197,0,197,0,197,543,543,0.44,0.43,6997,1594,1094,639,0,10324,31159,0,6264,2029,40950,51274,13872,22489,3286,33617,47489,5,1640,-5083,0,3785,51274,2584,1699,1858,3557,-160,0,0,254,401,6524,-5606,0,0,-96,0,-96,0,-5702,3874,0,3874,-4500,-4500,-224,-44,-894,-72,100,-224,45.11809921,4.68,9.64061949,0.003842103,0.055692308,0.285128205,0.020205128,0.052047556,0.744232987,12.54663144,0.055692308
2017 Q1,AAL,AMERICAN AIRLINES GROUP INC,1.29%,1,2017-03-31,9820,7061,2759,0,318,-1299,2022,737,-202,535,195,340,0,340,0,340,737,737,0.67,0.67,7219,1397,1154,856,0,10626,32291,0,6327,2004,42001,52627,15286,22829,2753,33884,49170,5,1823,-5097,0,3457,52627,1282,2017,2308,4325,-190,0,0,-830,-721,4744,-5877,0,0,1591,-203,1388,853,-3636,726,0,726,-1615,-1615,-198,-58,-1145,-37,90,-198,40.96680832,4.2,9.754001981,0.006460562,0.075050916,0.28095723,0.034623218,0.098351172,0.695145885,14.22331501,0.075050916
2017 Q2,AAL,AMERICAN AIRLINES GROUP INC,1.46%,-1,2017-06-30,11227,7408,3819,0,376,-1426,2220,1599,-210,1389,525,864,0,864,0,864,1599,1599,1.76,1.75,7440,1543,1206,827,0,11016,32993,0,6315,2107,42320,53336,16112,22525,3484,33509,49621,5,2577,-5112,0,3715,53336,1282,2017,2308,4325,-190,0,0,-830,-721,4744,-5877,0,0,1591,-203,1388,853,-3636,726,0,726,-1615,-1615,-198,-58,-1145,-37,90,-198,48.83898163,4.27,11.43770062,0.01619919,0.142424512,0.340162109,0.076957335,0.232570659,0.683714002,13.35693136,0.142424512
2017 Q3,AAL,AMERICAN AIRLINES GROUP INC,1.26%,0,2017-09-30,10965,7516,3449,0,400,-1360,2193,1256,-193,1063,402,661,0,661,0,661,1256,1256,1.36,1.36,6161,1700,1315,826,0,10002,33311,0,6305,2245,42399,52401,15307,22217,3462,33146,48453,5,3152,-5127,0,3948,52401,1282,2017,2308,4325,-190,0,0,-830,-721,4744,-5877,0,0,1591,-203,1388,853,-3636,726,0,726,-1615,-1615,-198,-58,-1145,-37,90,-198,46.18577194,4.23,10.91862221,0.012614263,0.114546284,0.314546284,0.060282718,0.167426545,0.653426537,12.27279635,0.114546284
2017 Q4,AAL,AMERICAN AIRLINES GROUP INC,1.25%,-1,2017-12-31,10610,7605,3005,0,383,-1537,2366,639,-231,408,991,-583,0,-583,0,-583,639,639,-1.17,-1.17,5384,1752,1359,651,0,9146,34156,0,6294,1373,43639,52785,15358,22511,8199,38207,53565,5,-1345,-5154,0,-780,52785,1282,2017,2308,4325,-190,0,0,-830,-721,4744,-5877,0,0,1591,-203,1388,853,-3636,726,0,726,-1615,-1615,-198,-58,-1145,-37,90,-198,50.71187973,2.62,19.35567929,-0.011044804,0.060226202,0.283223374,-0.054948162,0.747435897,0.59552025,-68.67307692,0.060226202
2018 Q1,AAL,AMERICAN AIRLINES GROUP INC,1.27%,0,2018-03-31,10401,7723,2678,0,356,-1486,2282,396,-158,238,79,159,0,159,0,159,396,396,0.34,0.34,5585,1809,1455,824,0,9673,34333,0,6284,1409,43607,53280,17008,21946,8085,37290,54298,5,-1130,-5172,0,-1018,53280,1412,2159,625,2784,222,0,0,-641,-566,3533,-3634,0,0,365,207,572,1089,-1973,-587,0,-587,-837,-837,-186,-62,-1672,-112,86,-186,50.74104691,2.29,22.1576624,0.002984234,0.038073262,0.257475243,0.015286992,-0.156188605,0.568732361,-53.33791749,0.038073262
2018 Q2,AAL,AMERICAN AIRLINES GROUP INC,0.87%,-1,2018-06-30,11643,8302,3341,0,385,-1495,2337,1004,-248,756,200,556,0,556,0,556,1004,1004,1.2,1.2,4857,1941,1522,856,0,9176,34424,0,6248,1375,43446,52622,16669,21863,7841,36822,53491,5,-610,-5187,0,-869,52622,1412,2159,625,2784,222,0,0,-641,-566,3533,-3634,0,0,365,207,572,1089,-1973,-587,0,-587,-837,-837,-186,-62,-1672,-112,86,-186,37.15616989,1.73,21.47755485,0.010565923,0.086232071,0.286953534,0.047754015,-0.63981588,0.550482932,-61.55466053,0.086232071
2018 Q3,AAL,AMERICAN AIRLINES GROUP INC,0.82%,-1,2018-09-30,11559,8544,3015,0,395,-1467,2330,685,-189,496,124,372,0,372,0,372,685,685,0.81,0.81,5009,2170,1576,743,0,9498,34223,0,6238,1383,43137,52635,16348,22274,7683,36855,53203,5,-316,-5203,0,-568,52635,1412,2159,625,2784,222,0,0,-641,-566,3533,-3634,0,0,365,207,572,1089,-1973,-587,0,-587,-837,-837,-186,-62,-1672,-112,86,-186,40.56037903,1.18,34.37320257,0.007067541,0.059261182,0.260835712,0.032182715,-0.654929577,0.5809885,-93.66725352,0.059261182
2018 Q4,AAL,AMERICAN AIRLINES GROUP INC,0.77%,0,2018-12-31,10938,9921,1017,0,384,-1427,446,571,-177,394,69,325,0,325,0,325,571,571,0.69,0.68,4914,1706,1522,495,0,8637,34098,0,6228,1321,51943,60580,18096,21179,6665,42653,60749,5,758,-5896,0,-169,60580,1412,2159,625,2784,222,0,0,-641,-566,3533,-3634,0,0,365,207,572,1089,-1973,-587,0,-587,-837,-837,-186,-62,-1672,-112,86,-186,31.5990448,3.04,10.39442263,0.005364807,0.052203328,0.092978607,0.029712927,-1.923076923,0.477287798,-359.4615385,0.052203328
