Date,Ticker,Stock,%,Change
2013 Q2,1396924D,LIBERTY MEDIA CORP - A,0.78%,1
2013 Q2,1448062D,DIRECTV,2.50%,1
2013 Q2,AXP,AMERICAN EXPRESS CO,12.34%,1
2013 Q2,BK,BANK OF NEW YORK MELLON CORP,0.75%,1
2013 Q2,CBI,CHICAGO BRIDGE & IRON CO NV,0.62%,1
2013 Q2,COP,CONOCOPHILLIPS,1.59%,1
2013 Q2,COST,COSTCO WHOLESALE CORP,0.52%,1
2013 Q2,DE,DEERE & CO,0.35%,1
2013 Q2,DISH,DISH NETWORK CORP-A,0.03%,1
2013 Q2,DVA,DAVITA INC,1.97%,1
2013 Q2,GE,GENERAL ELECTRIC CO,0.01%,1
2013 Q2,GM,GENERAL MOTORS CO,1.45%,1
2013 Q2,GSK,GLAXOSMITHKLINE PLC-SPON ADR,0.08%,1
2013 Q2,IBM,INTL BUSINESS MACHINES CORP,14.17%,1
2013 Q2,JNJ,JOHNSON & JOHNSON,0.03%,1
2013 Q2,KO,COCA-COLA CO/THE,17.47%,1
2013 Q2,KRFT,KRAFT FOODS GROUP INC,0.01%,1
2013 Q2,LEE,LEE ENTERPRISES,0.00%,1
2013 Q2,MA,MASTERCARD INC - A,0.25%,1
2013 Q2,MCO,MOODY'S CORP,1.65%,1
2013 Q2,MDLZ,MONDELEZ INTERNATIONAL INC-A,0.02%,1
2013 Q2,MEG,MEDIA GENERAL INC COM STK (VA),0.06%,1
2013 Q2,MTB,M & T BANK CORP,0.65%,1
2013 Q2,NOV,NATIONAL OILWELL VARCO INC,0.67%,1
2013 Q2,PCP,PRECISION CASTPARTS CORP,0.49%,1
2013 Q2,PG,PROCTER & GAMBLE CO/THE,4.43%,1
2013 Q2,PSX,PHILLIPS 66,1.74%,1
2013 Q2,SNY,SANOFI-ADR,0.23%,1
2013 Q2,STRZA,STARZ - A,0.14%,1
2013 Q2,SU,SUNCOR ENERGY INC,0.57%,1
2013 Q2,TMJ,TORCHMARK CORP,0.30%,1
2013 Q2,UPS,UNITED PARCEL SERVICE-CL B,0.01%,1
2013 Q2,USB,US BANCORP,3.08%,1
2013 Q2,USG,USG CORP,0.43%,1
2013 Q2,V,VISA INC-CLASS A SHARES,0.31%,1
2013 Q2,VIAB,VIACOM INC-CLASS B,0.56%,1
2013 Q2,VRSK,VERISK ANALYTICS INC,0.10%,1
2013 Q2,VRSN,VERISIGN INC,0.53%,1
2013 Q2,WBC,WABCO HOLDINGS INC,0.33%,1
2013 Q2,WFC,WELLS FARGO & CO,20.81%,1
2013 Q2,WMT,WALMART INC,3.99%,1
2013 Q2,WPO,WASHINGTON POST CO CLB,0.91%,1
2013 Q2,XOM,EXXON MOBIL CORP,3.07%,1
2013 Q3,1396924D,LIBERTY MEDIA CORP - A,0.90%,0
2013 Q3,1448062D,DIRECTV,2.37%,-1
2013 Q3,AXP,AMERICAN EXPRESS CO,12.44%,0
2013 Q3,BK,BANK OF NEW YORK MELLON CORP,0.81%,1
2013 Q3,CBI,CHICAGO BRIDGE & IRON CO NV,0.70%,0
2013 Q3,COP,CONOCOPHILLIPS,1.02%,-1
2013 Q3,COST,COSTCO WHOLESALE CORP,0.54%,0
2013 Q3,DE,DEERE & CO,0.35%,0
2013 Q3,DISH,DISH NETWORK CORP-A,0.03%,0
2013 Q3,DVA,DAVITA INC,1.94%,1
2013 Q3,GE,GENERAL ELECTRIC CO,0.02%,0
2013 Q3,GM,GENERAL MOTORS CO,1.56%,0
2013 Q3,GSK,GLAXOSMITHKLINE PLC-SPON ADR,0.02%,-1
2013 Q3,IBM,INTL BUSINESS MACHINES CORP,13.71%,0
2013 Q3,JNJ,JOHNSON & JOHNSON,0.03%,0
2013 Q3,KO,COCA-COLA CO/THE,16.46%,0
2013 Q3,KRFT,KRAFT FOODS GROUP INC,0.01%,0
2013 Q3,LEE,LEE ENTERPRISES,0.00%,0
2013 Q3,MA,MASTERCARD INC - A,0.30%,0
2013 Q3,MCO,MOODY'S CORP,1.90%,0
2013 Q3,MDLZ,MONDELEZ INTERNATIONAL INC-A,0.02%,0
2013 Q3,MEG,MEDIA GENERAL INC COM STK (VA),0.07%,0
2013 Q3,MTB,M & T BANK CORP,0.65%,0
2013 Q3,NOV,NATIONAL OILWELL VARCO INC,0.75%,0
2013 Q3,PCP,PRECISION CASTPARTS CORP,0.49%,0
2013 Q3,PG,PROCTER & GAMBLE CO/THE,4.34%,0
2013 Q3,PSX,PHILLIPS 66,1.71%,0
2013 Q3,SNY,SANOFI-ADR,0.21%,-1
2013 Q3,STRZA,STARZ - A,0.17%,0
2013 Q3,SU,SUNCOR ENERGY INC,0.70%,1
2013 Q3,TMJ,TORCHMARK CORP,0.33%,0
2013 Q3,UPS,UNITED PARCEL SERVICE-CL B,0.01%,0
2013 Q3,USB,US BANCORP,3.14%,1
2013 Q3,USG,USG CORP,0.53%,0
2013 Q3,V,VISA INC-CLASS A SHARES,0.32%,0
2013 Q3,VIAB,VIACOM INC-CLASS B,0.69%,0
2013 Q3,VRSK,VERISK ANALYTICS INC,0.11%,0
2013 Q3,VRSN,VERISIGN INC,0.61%,1
2013 Q3,WBC,WABCO HOLDINGS INC,0.37%,0
2013 Q3,WFC,WELLS FARGO & CO,20.79%,0
2013 Q3,WMT,WALMART INC,3.96%,0
2013 Q3,WPO,WASHINGTON POST CO CLB,1.15%,0
2013 Q3,XOM,EXXON MOBIL CORP,3.75%,1
2013 Q4,1396924D,LIBERTY MEDIA CORP - A,0.74%,-1
2013 Q4,1448062D,DIRECTV,2.41%,0
2013 Q4,AXP,AMERICAN EXPRESS CO,13.12%,0
2013 Q4,BK,BANK OF NEW YORK MELLON CORP,0.82%,0
2013 Q4,CBI,CHICAGO BRIDGE & IRON CO NV,0.76%,0
2013 Q4,COP,CONOCOPHILLIPS,0.75%,-1
2013 Q4,COST,COSTCO WHOLESALE CORP,0.49%,0
2013 Q4,DE,DEERE & CO,0.35%,0
2013 Q4,DISH,DISH NETWORK CORP-A,0.00%,-1
2013 Q4,DVA,DAVITA INC,2.20%,1
2013 Q4,GE,GENERAL ELECTRIC CO,0.28%,1
2013 Q4,GHC,GRAHAM HOLDINGS CO-CLASS B,1.09%,1
2013 Q4,GM,GENERAL MOTORS CO,1.56%,0
2013 Q4,GS,GOLDMAN SACHS GROUP INC,2.14%,1
2013 Q4,GSK,GLAXOSMITHKLINE PLC-SPON ADR,0.00%,-1
2013 Q4,IBM,INTL BUSINESS MACHINES CORP,12.19%,0
2013 Q4,JNJ,JOHNSON & JOHNSON,0.03%,0
2013 Q4,KO,COCA-COLA CO/THE,15.76%,0
2013 Q4,KRFT,KRAFT FOODS GROUP INC,0.01%,0
2013 Q4,LBTYA,LIBERTY GLOBAL PLC-A,0.25%,1
2013 Q4,LEE,LEE ENTERPRISES,0.00%,0
2013 Q4,MA,MASTERCARD INC - A,0.32%,0
2013 Q4,MCO,MOODY'S CORP,1.85%,-1
2013 Q4,MDLZ,MONDELEZ INTERNATIONAL INC-A,0.02%,0
2013 Q4,MEG,MEDIA GENERAL INC COM STK (VA),0.10%,0
2013 Q4,MTB,M & T BANK CORP,0.60%,0
2013 Q4,NOV,NATIONAL OILWELL VARCO INC,0.67%,0
2013 Q4,PCP,PRECISION CASTPARTS CORP,0.51%,0
2013 Q4,PG,PROCTER & GAMBLE CO/THE,4.10%,0
2013 Q4,PSX,PHILLIPS 66,2.00%,0
2013 Q4,SNY,SANOFI-ADR,0.20%,0
2013 Q4,STRZA,STARZ - A,0.13%,-1
2013 Q4,SU,SUNCOR ENERGY INC,0.43%,-1
2013 Q4,TMJ,TORCHMARK CORP,0.32%,0
2013 Q4,UPS,UNITED PARCEL SERVICE-CL B,0.01%,0
2013 Q4,USB,US BANCORP,3.06%,1
2013 Q4,USG,USG CORP,0.94%,1
2013 Q4,V,VISA INC-CLASS A SHARES,0.33%,0
2013 Q4,VIAB,VIACOM INC-CLASS B,0.63%,0
2013 Q4,VRSK,VERISK ANALYTICS INC,0.10%,0
2013 Q4,VRSN,VERISIGN INC,0.63%,0
2013 Q4,WBC,WABCO HOLDINGS INC,0.36%,0
2013 Q4,WFC,WELLS FARGO & CO,20.07%,1
2013 Q4,WMT,WALMART INC,3.71%,1
2013 Q4,WPO,WASHINGTON POST CO CLB,0.00%,-1
2013 Q4,XOM,EXXON MOBIL CORP,3.97%,1
2014 Q1,1396924D,LIBERTY MEDIA CORP - A,0.66%,0
2014 Q1,1448062D,DIRECTV,2.49%,-1
2014 Q1,AXP,AMERICAN EXPRESS CO,12.90%,0
2014 Q1,BK,BANK OF NEW YORK MELLON CORP,0.82%,0
2014 Q1,CBI,CHICAGO BRIDGE & IRON CO NV,0.79%,0
2014 Q1,COP,CONOCOPHILLIPS,0.74%,0
2014 Q1,COST,COSTCO WHOLESALE CORP,0.46%,0
2014 Q1,DE,DEERE & CO,0.34%,0
2014 Q1,DVA,DAVITA INC,2.45%,1
2014 Q1,GE,GENERAL ELECTRIC CO,0.26%,0
2014 Q1,GHC,GRAHAM HOLDINGS CO-CLASS B,1.15%,0
2014 Q1,GM,GENERAL MOTORS CO,0.98%,-1
2014 Q1,GS,GOLDMAN SACHS GROUP INC,1.96%,0
2014 Q1,IBM,INTL BUSINESS MACHINES CORP,12.44%,1
2014 Q1,JNJ,JOHNSON & JOHNSON,0.03%,0
2014 Q1,KO,COCA-COLA CO/THE,14.62%,0
2014 Q1,KRFT,KRAFT FOODS GROUP INC,0.01%,0
2014 Q1,LBTYA,LIBERTY GLOBAL PLC-A,0.29%,1
2014 Q1,LBTYK,LIBERTY GLOBAL PLC- C,0.28%,1
2014 Q1,LEE,LEE ENTERPRISES,0.00%,0
2014 Q1,MA,MASTERCARD INC - A,0.29%,0
2014 Q1,MCO,MOODY'S CORP,1.85%,0
2014 Q1,MDLZ,MONDELEZ INTERNATIONAL INC-A,0.02%,0
2014 Q1,MEG,MEDIA GENERAL INC COM STK (VA),0.08%,0
2014 Q1,MTB,M & T BANK CORP,0.62%,0
2014 Q1,NOV,NATIONAL OILWELL VARCO INC,0.65%,0
2014 Q1,PCP,PRECISION CASTPARTS CORP,0.47%,0
2014 Q1,PG,PROCTER & GAMBLE CO/THE,4.02%,0
2014 Q1,PSX,PHILLIPS 66,0.71%,-1
2014 Q1,SNY,SANOFI-ADR,0.19%,0
2014 Q1,STRZA,STARZ - A,0.06%,-1
2014 Q1,SU,SUNCOR ENERGY INC,0.43%,0
2014 Q1,TMJ,TORCHMARK CORP,0.32%,0
2014 Q1,UPS,UNITED PARCEL SERVICE-CL B,0.01%,0
2014 Q1,USB,US BANCORP,3.24%,1
2014 Q1,USG,USG CORP,1.08%,0
2014 Q1,V,VISA INC-CLASS A SHARES,0.32%,0
2014 Q1,VIAB,VIACOM INC-CLASS B,0.61%,0
2014 Q1,VRSK,VERISK ANALYTICS INC,0.09%,0
2014 Q1,VRSN,VERISIGN INC,0.60%,1
2014 Q1,VZ,VERIZON COMMUNICATIONS INC,0.50%,1
2014 Q1,WBC,WABCO HOLDINGS INC,0.41%,0
2014 Q1,WFC,WELLS FARGO & CO,21.79%,0
2014 Q1,WMT,WALMART INC,4.19%,1
2014 Q1,XOM,EXXON MOBIL CORP,3.80%,0
2014 Q2,1396924D,LIBERTY MEDIA CORP - A,0.51%,-1
2014 Q2,1448062D,DIRECTV,1.85%,-1
2014 Q2,9876540D,FORMER CHARTER COMMUNICATION,0.34%,1
2014 Q2,AXP,AMERICAN EXPRESS CO,13.37%,0
2014 Q2,BK,BANK OF NEW YORK MELLON CORP,0.86%,0
2014 Q2,CBI,CHICAGO BRIDGE & IRON CO NV,0.68%,1
2014 Q2,COP,CONOCOPHILLIPS,0.11%,-1
2014 Q2,COST,COSTCO WHOLESALE CORP,0.46%,0
2014 Q2,DE,DEERE & CO,0.33%,0
2014 Q2,DNOW,NOW INC,0.06%,1
2014 Q2,DVA,DAVITA INC,2.53%,0
2014 Q2,GE,GENERAL ELECTRIC CO,0.26%,0
2014 Q2,GHC,GRAHAM HOLDINGS CO-CLASS B,0.07%,-1
2014 Q2,GM,GENERAL MOTORS CO,1.11%,1
2014 Q2,GS,GOLDMAN SACHS GROUP INC,1.97%,0
2014 Q2,IBM,INTL BUSINESS MACHINES CORP,11.82%,1
2014 Q2,JNJ,JOHNSON & JOHNSON,0.03%,0
2014 Q2,KO,COCA-COLA CO/THE,15.75%,0
2014 Q2,KRFT,KRAFT FOODS GROUP INC,0.01%,0
2014 Q2,LBTYA,LIBERTY GLOBAL PLC-A,0.41%,1
2014 Q2,LBTYK,LIBERTY GLOBAL PLC- C,0.29%,0
2014 Q2,LEE,LEE ENTERPRISES,0.00%,0
2014 Q2,MA,MASTERCARD INC - A,0.28%,0
2014 Q2,MCO,MOODY'S CORP,2.01%,0
2014 Q2,MDLZ,MONDELEZ INTERNATIONAL INC-A,0.02%,0
2014 Q2,MEG,MEDIA GENERAL INC COM STK (VA),0.09%,0
2014 Q2,MTB,M & T BANK CORP,0.62%,0
2014 Q2,NOV,NATIONAL OILWELL VARCO INC,0.56%,-1
2014 Q2,PCP,PRECISION CASTPARTS CORP,0.44%,-1
2014 Q2,PG,PROCTER & GAMBLE CO/THE,3.86%,0
2014 Q2,PSX,PHILLIPS 66,0.49%,-1
2014 Q2,SNY,SANOFI-ADR,0.19%,0
2014 Q2,STRZA,STARZ - A,0.00%,-1
2014 Q2,SU,SUNCOR ENERGY INC,0.65%,1
2014 Q2,TMJ,TORCHMARK CORP,0.32%,0
2014 Q2,UPS,UNITED PARCEL SERVICE-CL B,0.01%,0
2014 Q2,USB,US BANCORP,3.23%,1
2014 Q2,USG,USG CORP,1.09%,1
2014 Q2,V,VISA INC-CLASS A SHARES,0.35%,1
2014 Q2,VIAB,VIACOM INC-CLASS B,0.61%,0
2014 Q2,VRSK,VERISK ANALYTICS INC,0.09%,0
2014 Q2,VRSN,VERISIGN INC,0.59%,1
2014 Q2,VZ,VERIZON COMMUNICATIONS INC,0.68%,1
2014 Q2,WBC,WABCO HOLDINGS INC,0.40%,0
2014 Q2,WFC,WELLS FARGO & CO,22.64%,0
2014 Q2,WMT,WALMART INC,4.10%,1
2014 Q2,XOM,EXXON MOBIL CORP,3.85%,0
2014 Q3,1396924D,LIBERTY MEDIA CORP - A,0.17%,0
2014 Q3,1396926D,LIBERTY MEDIA CORP - C,0.35%,1
